"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00026063","ST. PETERSBURG, RS","2023-03-18","0.00","38","44",
"RSM00026063","ST. PETERSBURG, RS","2023-03-19","0.00","39","43",
"RSM00026063","ST. PETERSBURG, RS","2023-03-20","0.00","42","51",
"RSM00026063","ST. PETERSBURG, RS","2023-03-21","0.20","35","40",
"RSM00026063","ST. PETERSBURG, RS","2023-03-22","0.03","35",,"30"
"RSM00026063","ST. PETERSBURG, RS","2023-03-23","0.00","44",,
"RSM00026063","ST. PETERSBURG, RS","2023-03-24","0.04","41",,"35"
"RSM00026063","ST. PETERSBURG, RS","2023-03-25","0.20","40","45",
"RSM00026063","ST. PETERSBURG, RS","2023-03-26","0.33","36",,
"RSM00026063","ST. PETERSBURG, RS","2023-03-27","0.11","31","33","30"
"RSM00026063","ST. PETERSBURG, RS","2023-03-28","0.31","31","35",
"RSM00026063","ST. PETERSBURG, RS","2023-03-29","0.51","29","31",
"RSM00026063","ST. PETERSBURG, RS","2023-03-30","0.01","25","34",
"RSM00026063","ST. PETERSBURG, RS","2023-03-31","0.03","31","38",
"RSM00026063","ST. PETERSBURG, RS","2023-04-01","0.35","32","35",
"RSM00026063","ST. PETERSBURG, RS","2023-04-02","0.00","32","37","26"
"RSM00026063","ST. PETERSBURG, RS","2023-04-03","0.15","30","33",
"RSM00026063","ST. PETERSBURG, RS","2023-04-04","0.03","32","35",
"RSM00026063","ST. PETERSBURG, RS","2023-04-05","0.00","37","42","32"
"RSM00026063","ST. PETERSBURG, RS","2023-04-06","0.00","39","49",
"RSM00026063","ST. PETERSBURG, RS","2023-04-07","0.00","40","51",
"RSM00026063","ST. PETERSBURG, RS","2023-04-08","0.00","42","54",
"RSM00026063","ST. PETERSBURG, RS","2023-04-09","0.00","42","56",
"RSM00026063","ST. PETERSBURG, RS","2023-04-10","0.00","43",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-11","0.00","46",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-12","0.00","50","63",
"RSM00026063","ST. PETERSBURG, RS","2023-04-13","0.00","42",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-14","0.00","40",,"33"
